,Batter,Avg. EV,Max EV,90th Percentile EV,Avg. LA,Avg. Direction,Approach Type
0,Eric Jenkins,83.39424133676953,105.4833824,98.37049397168519,23.55446243142967,-8.680252099392687,Oppo
1,Josh Sears,87.27301537069688,108.7412903,103.99916192590597,25.827565319985364,7.9498845457748395,Oppo
2,Ethan Skender,79.40544071536449,105.4299571,98.067888374,21.383521573111608,7.653955395312561,Oppo
3,Dakota Phillips,88.02118199033882,107.1292428908242,102.08061908948113,21.875752302747788,6.049487670045528,Pull
4,George Callil,80.25759353539833,102.3161092,97.73681245517906,21.50171869010948,-1.195932152768333,Gap-to-gap
5,Jeffrey Baez,85.37029030424898,110.9760241,104.4458717634954,26.429914475200132,2.55476526712606,Gap-to-gap
6,Jomar Reyes,83.16997667604707,111.36853043454396,103.50455158000001,22.305874027357,4.853335512322692,Gap-to-gap
7,Craig Massey,82.12034756070007,105.3694709,96.97804706410712,20.4550090768969,-8.244142604775048,Oppo
8,Ray Zuberer,85.04154278788972,108.44253731572162,102.09588274,28.04890834512139,-2.417451775993868,Gap-to-gap
9,Brennan Price,90.59113415006492,109.224959,104.53837563920112,20.056629652067393,-6.473085829869851,Oppo
10,Harrison Dinicola,81.90875627767448,102.7096675,95.744482174,23.615943746949945,4.730091678077654,Gap-to-gap
11,Brian Fuentes,81.8673138560335,106.4897513,99.26287009035002,26.351608461046176,9.146286281975025,Oppo
12,Zade Richardson,81.04809401342817,106.5486644,99.50859799212357,21.048692306788634,-3.6763747830400724,Gap-to-gap
13,Cole Brannen,80.50202265954418,102.35434168719247,94.54762994000001,21.435593240516862,-2.813420431545355,Gap-to-gap
14,David Vinsky,86.13046114007423,108.3400081355488,100.12521251878198,27.028388071573982,12.277538963775175,Oppo
15,Pat Kivlehan,88.51804320055129,117.24276771120888,105.02396487573155,29.183274241640536,-1.2653116012808996,Gap-to-gap
16,Gabriel Garcia,83.35633211388988,107.5906935084157,99.80292099988097,24.806410542437284,-0.15884002915307474,Gap-to-gap
17,Matt Mcdermott,80.86831869170476,109.39706383333252,97.54210489600001,23.239654544808655,-3.0645123174343083,Gap-to-gap
18,Tucker Nathans,87.97982488532944,105.12100403455882,100.53195860218568,24.39731061870978,-3.6639226804782252,Gap-to-gap
19,Thomas Walraven,85.08214314814897,108.21188153193712,102.86853065,31.22313352959465,-9.48907293668257,Pull
20,Chris Kwitzer,83.22550881537978,106.9265891,101.27987241533634,23.987382910977917,-7.270221157901593,Oppo
21,Giovanni Garbella,83.14306500753244,107.0625585268792,99.73847447589529,26.18696907697173,-0.9610197905207841,Gap-to-gap
22,Jamey Smart,86.10068380005623,108.0330727,102.3144651800489,21.267513024830144,-5.080472793944019,Oppo
23,Sicnarf Loopstok,87.64442156923411,110.88600170307387,104.74871506,21.619021928242443,-3.3134388356268065,Gap-to-gap
24,Jason Dicochea,85.42956740196132,104.6221609,99.99351578678592,25.677256182035162,-0.7045019930331609,Gap-to-gap
25,Taylor Wright,85.67350074150667,107.02213486684752,100.91684336,24.879668261053556,0.2415528357063211,Gap-to-gap
