,Pitcher,FB+,CB+,SI+,CUT+,SPL+,CH+,SL+,Pitching+
70,Dan Bebee,103.2731104310622,,,112.86429624797061,,,96.13881390205671,100.2568110780862
71,Angelo Baez,105.35931221150048,,,99.50364415875526,,110.77362939481516,90.58881522779836,99.91960069136506
72,Alec Thomas,103.31833017457448,87.98615699115135,,112.69460540703228,,,,99.8885413830275
73,Jacob Kush,105.5677545176156,,,,,82.9004527334392,106.14908894611868,99.87881789007844
74,Javier Reynoso,110.2503831165849,,92.58904642951131,,,100.26450083355476,100.51754431463287,99.84582572934266
75,Zach Gettys,106.27319158497662,,,,,103.47897231909391,94.02035641985472,99.75936844200399
76,Miguel Reyes,97.36338060262995,,,,,,107.39892187977178,99.70808781405067
77,Austin Grossman,,,99.5566923298778,,,106.2704285303274,104.17537517570767,99.6120405387183
78,Henry Omana,105.8645164041877,,,,,95.4391312107981,,99.33358263841666
79,Ryder Yakel,110.37073533743991,81.70296979498582,,,,,,99.31290419910536
80,Chandler Brierley,,,107.85893597198701,,84.61557725088703,,63.62676815084317,99.26159535287151
81,Dawson Lane,100.98145452698066,,,,95.9971980561662,,104.98921037812327,99.03627184391455
82,Jake Joyce,104.68588955005143,,,,,,97.13009077821665,98.854005570785
83,Damon Casetta-stubbs,94.40234236967457,,,,,115.02303355265447,108.94116801814826,98.85000246905791
84,Antonio Frias,106.12877841126955,83.25919806466018,,,102.13197832934522,,,98.72120246538597
85,Trevor Kuncl,97.19014242585085,,,,,,113.68100506461994,98.68049251491274
86,Jhon Vargas,95.58583385061786,,,,,,104.97212979224784,98.64543915997194
87,Adrien Reese,102.16338040658279,99.49865867056074,,,,,,98.32765120442298
88,Justin Watland,99.12536425985063,,,,,108.18172630626266,100.5758597290752,98.28419382254219
89,Braeden Allemann,106.54354200710698,95.53971332458079,,,,,,98.20622008658437
90,Greg Veliz,100.7908217403546,,,,,,100.18722598651304,98.17880122295172
91,Dylan Castaneda,103.07963749828023,,,,,,101.02460652193139,97.72310213628626
92,Logan Schmidt,97.86567580230698,,95.80533901388331,,,,117.00464444068734,97.55775727021407
93,Tanner Jesson-dalton,99.09310750522219,,,,,,119.11209001488466,97.4681417745898
94,Evan Braband,97.73037770687583,93.71250366475276,,129.13345041977746,,,,96.77506441000351
95,Joey Gonzalez,99.31292713350811,113.63653822661968,,115.46614516812977,,76.76214867347677,,96.3475885199485
96,Carter Poiry,106.43212740693495,,,,,79.70761237351438,83.23664363143062,96.279007707563
97,Kyle Seebach,98.76397069854514,,,96.8539028820054,,,93.58607264744751,96.02100516607163
98,Derrick Edington,,82.76573568734169,101.43716170331933,,,93.67577103790524,,95.94276282220015
99,Nathan Holt,94.72002088806529,,,117.83451054280951,,,98.11364468826683,95.77446727930872
100,Franklin Parra,98.58576835427985,,,,,,87.85042200150511,95.6547265830571
101,Osman Gutierrez,,,89.04846968399902,110.94003114668365,,,98.06044194168643,94.50546260536407
102,Michael Barker,97.50618454769345,95.45610521533185,,,,91.37812130558869,,94.13146373675922
103,Andrew Dietz,98.39413381523042,,,,,97.74838375884956,91.35715136405608,94.01584504517862
104,Cole Bellair,99.50199934338478,83.64676224050719,,,,104.72586662311758,,94.0022735058825
105,Andres Rodriguez,92.57062257987874,113.35684010385422,,,,106.8739926640013,,93.78564720215023
106,Jon Beymer,,,98.9392747910513,,,,92.57247421898728,93.65166220279141
107,Jackson Hickert,94.36261360162445,,,,,111.18032963514335,69.52362253257124,92.2735489835136
108,Gage Feeney,,,90.6934475214374,,,,109.05196169213262,92.034049797831
109,Griffin Baker,95.2565381623287,,,,,106.13415226910166,,91.78983101439574
110,Edgar Martinez,98.6893930208279,92.09003969150625,,,,83.450523461132,,91.77231284942296
111,Zach Smith,90.85288683195022,,,,,87.06359349691454,99.17178631488329,90.31978626879928
112,Tyler Thornton,91.55083398950381,,,97.60746625988965,84.4861695267452,,102.58505320698465,90.04417659505634
113,Jesen Therrien,88.77938070276207,,,95.89567544842895,,,92.23323350583438,88.47149254968572
114,Jose Ledesma jr.,85.66051606187861,89.17924705084292,,,,86.53089145265767,,83.55054970476085
115,Mark Moclair,87.41847239403151,73.01983166737472,,,,88.71619971087004,,83.25170711442529
116,Jack Dellinger,85.10199381808857,,,,,77.50302451583573,87.71534293601343,82.03192018159689
117,Garrison Bryant,,,80.25000871860267,,,93.27689745598863,74.30327128253246,77.94526600174774
