,Name,Age,Tm,IP,W,L,S,K,BB,HR,ERA,FIP,BB/9,K/9,K/BB,Reliability
84,Carter Poiry,26.0,FLR,54.355199999999996,3,2,0,45,28,5,4.305015895443306,4.541704453630196,3.111111111111111,5.0,1.6071428571428572,0.6120000000000001
85,Darrien Ragins,28.0,LEC,53.808,3,3,1,61,23,2,2.6761819803746656,2.9544676065357787,2.5555555555555554,6.777777777777778,2.652173913043478,0.6120000000000001
86,Mike Reagan,24.0,SSX,49.364,3,2,0,41,17,6,4.01102017664695,4.408362577868183,1.8888888888888888,4.555555555555555,2.411764705882353,0.52
87,Javier Reynoso,31.0,WCT,50.59847660500544,3,1,0,48,23,3,4.268903225806452,3.693413018178609,2.5555555555555554,5.333333333333333,2.0869565217391304,0.63
88,Braden Scott,26.0,EVN,44.2232,3,1,0,51,15,3,3.256209410445196,3.0492255515503786,1.6666666666666667,5.666666666666667,3.4,1.0
89,July Sosa,27.0,RKL,62.620799999999996,5,3,0,54,19,8,4.74283305227656,4.3026158752319805,2.111111111111111,6.0,2.8421052631578947,1.0
90,Alec Thomas,26.0,NJJ,82.9036,4,5,0,71,55,13,5.645110706893307,5.772194581966103,6.111111111111111,7.888888888888889,1.290909090909091,0.7909999999999999
91,Rafi Vazquez,26.0,TRC,60.255599999999994,3,3,0,47,20,9,5.526457291936351,4.833717058879203,2.2222222222222223,5.222222222222222,2.35,0.711
92,Brac Warren,28.0,TRC,61.006,5,1,0,80,39,6,3.983214765760745,4.02996578876807,4.333333333333333,8.88888888888889,2.051282051282051,0.99
93,Lukas Young,27.0,WST,48.459959999999995,4,2,16,46,13,4,3.3429660280363422,3.435616135090372,1.4444444444444444,5.111111111111111,3.5384615384615383,0.862
94,Freisis Adames,27.0,SSX,49.87129999999999,3,1,1,51,17,5,4.331148375919618,3.736974307776744,1.8888888888888888,5.666666666666667,3.0,0.541
95,Cam Aufderheide,27.0,JOL,105.63701999999999,4,8,0,78,45,8,4.345067666619146,4.241961131623761,5.0,8.666666666666666,1.7333333333333334,1.0
96,Jon Beymer,25.0,EVN,52.711999999999996,3,1,1,56,25,2,3.9269995446957053,3.2475705926306526,2.7777777777777777,6.222222222222222,2.24,0.5800000000000001
97,Garrison Bryant,25.0,TRC,61.756899999999995,3,3,0,47,23,10,5.53784273498184,5.156466602631155,2.5555555555555554,5.222222222222222,2.0434782608695654,0.7309999999999999
98,Stephen Chamblee,28.0,LEC,59.708,3,4,0,46,18,10,5.878609231593757,4.997083777162654,2.0,5.111111111111111,2.5555555555555554,0.712
99,Trevor Clifton,29.0,OTT,32.3658269441402,2,1,2,36,14,2,4.171065989847715,3.332664587416096,1.5555555555555556,4.0,2.5714285714285716,0.2909999999999999
