,Pitcher,FB+,CB+,SI+,CUT+,SPL+,CH+,SL+,Stuff+
69,Nate Garkow,86.68403965452919,,,,,146.36423129371192,82.12417492739324,96.34263686079215
70,Nick Garcia,81.08139048440832,,,,,108.89642414594698,108.9118568713987,96.10648711235822
71,Parker Brahms,76.95387905848311,112.0755366351599,,,,122.42765328237732,,95.96949479445304
72,Elijah Gill,93.3450979003717,107.59759369022302,,,,56.146137856970334,,95.48337679708943
73,Kenny Pierson,100.29331343144521,,105.49756355449735,,,74.48888761604437,102.41649253152704,95.45856938634742
74,Logan Schmidt,95.90251087264855,,94.7641577246035,,,,99.17494363944354,95.35943213631178
75,Taylor Sugg,84.81539668542601,,,,,88.7576617344873,108.14470962357052,95.32184085420113
76,Garrison Bryant,,,73.03428673654868,,,101.74410558149447,110.27635891036986,95.22243327760819
77,Cole Cook,73.29929471808225,103.17313863960327,,108.66320774367291,,88.01476608614225,102.25574174720352,95.02621757620611
78,Kobey Schlotman,77.81244462436179,,,111.68751250670397,,,109.73204993579783,94.99436666924616
79,Michael Barker,92.4842586832027,101.74971812816503,,,,95.5229365479358,,94.8839986234958
80,Alex Hart,79.08248250185783,,,,,,107.1456685337292,94.6115404346712
81,Carter Poiry,110.17886380999809,,,,,69.4159778604038,91.36005224847656,94.53467370516205
82,Andres Rodriguez,81.25494967523544,107.36328564868343,,,,131.37414871492027,,94.47452409635558
83,Griffin Baker,75.81003185812236,,,,,126.5105634214527,119.37232265526754,94.33658256416001
84,Harley Gollert,82.85910172760124,,,,,102.19185054223068,105.67652093108475,93.40265440677825
85,Zach Gettys,75.50291981446392,,,,,87.11553857743506,109.90417942897605,93.37892644546255
86,Derrick Edington,,81.04326916867183,93.61599542118712,,,135.04574506895685,,93.359729474802
87,Ryan Munoz,,102.03031124211186,82.8156151882131,,,,,92.77331979313149
88,Javier Reynoso,70.87274582876597,,64.80860714740882,,,82.28010996802936,110.43430544044143,92.75476192189407
89,Matt Mulhearn,72.12521501718247,,,,,130.32137364859895,106.13181722269034,92.7089402533836
90,Jacob Kush,76.69439839805257,,,,,107.07738952550443,104.61023146705917,92.687882711225
91,Mike Reagan,79.86792383535293,,,,,103.76437214289041,106.96307609600343,92.31873389534363
92,Rafi Vazquez,95.37487543819377,,98.14086950175785,,,75.26848397381963,100.37925962744309,92.26232753487302
93,Jackson Hickert,80.90223522224387,,,,,102.22618194785849,101.98773260478995,92.25048307784496
94,Kobe Foster,80.00924078725397,96.19456862919965,,,,93.09346469108763,110.1882687688657,91.93666963957682
95,Dawson Lane,102.55914669783559,,,,,,92.05019147936594,91.68748505471513
96,Kenny Mathews,91.90214838972457,,,,,85.90626543989119,97.96577157676026,91.32916670496476
97,Kyle Seebach,102.68764401777155,,,87.60375685641594,,,86.39578826738146,90.91117568746229
